city,central_three,three_bed,central_three_min,three_bed_min,central_one_min,central_one,one_bed,one_bed_min,central_three_wage,three_bed_wage,central_three_min_wage,three_bed_min_wage,mom_central_three_wage
"Akron, Ohio",825,950,750,900,455,485,625,600,3.966346154,4.567307692,3.605769231,9.375,11.17391827
"Albuquerque, New Mexico","1,237",975,"1,000.00",850,500,700,560,500,5.947115385,4.6875,4.807692308,9.254807692,13.15270673
"Alexandria, Virginia","3,500","2,800",,,"1,400.00","1,866","1,400","1,300.00",16.82692308,13.46153846,#VALUE!,#VALUE!,24.02163462
"Allentown, Pennsylvania","1,866","1,750",800,"1,500.00",500,966,866,800,8.971153846,8.413461538,3.846153846,10.81730769,16.17372115
"Anaheim, California","2,400","1,933","2,200.00","1,800.00","1,075.00","1,303","1,150","1,100.00",11.53846154,9.293269231,10.57692308,11.53846154,18.73846154
"Anchorage, Alaska","1,966","1,410","1,750.00","1,300.00","1,200.00","1,266",940,850,9.451923077,6.778846154,8.413461538,10.33653846,16.65400962
"Ann Arbor, Michigan","1,933","1,233","1,300.00","1,000.00",950,"1,045",700,700,9.293269231,5.927884615,6.25,9.615384615,16.49551442
"Arlington, Texas","1,500",800,,,500,616,400,,7.211538462,3.846153846,#VALUE!,#VALUE!,14.41586538
"Atlanta, Georgia","1,940","1,312","1,400.00",900,680,983,778,600,9.326923077,6.307692308,6.730769231,9.375,16.52913462
"Augusta, Georgia",995,"1,016",800,850,400,600,525,450,4.783653846,4.884615385,3.846153846,9.254807692,11.99040865
"Aurora, Illinois","1,825","1,475","1,250.00","1,150.00",750,900,883,850,8.774038462,7.091346154,6.009615385,9.975961538,15.97680288
"Austin, Texas","2,808","1,550","2,485.00","1,200.00","1,200.00","1,580",924,800,13.5,7.451923077,11.94711538,10.09615385,20.69803846
"Baltimore, Maryland","2,300","1,500","1,900.00","1,250.00","1,200.00","1,306",906,750,11.05769231,7.211538462,9.134615385,10.21634615,18.25817308
"Baton Rouge, Louisiana","1,350","1,237","1,200.00","1,000.00",900,950,786,650,6.490384615,5.947115385,5.769230769,9.615384615,13.69543269
"Bellevue, Washington","3,600","2,250","3,200.00","2,000.00","1,500.00","1,550","1,050","1,000.00",17.30769231,10.81730769,15.38461538,12.01923077,24.50192308
"Berkeley, California","3,600","2,766","3,600.00","2,500.00","1,200.00","1,450","1,233","1,200.00",17.30769231,13.29807692,17.30769231,13.22115385,24.50192308
"Birmingham, Alabama","2,050","1,146","1,300.00",990,600,883,761,600,9.855769231,5.509615385,6.25,9.591346154,17.05745192
"Boise, Idaho","1,173",912,"1,000.00",800,650,705,625,550,5.639423077,4.384615385,4.807692308,9.134615385,12.84532212
"Boston, Massachusetts","4,265","2,767","3,500.00","2,100.00","1,700.00","2,204","1,513","1,199.00",20.50480769,13.30288462,16.82692308,12.25961538,27.69584135
"Boulder, Colorado","3,333","2,050","2,500.00","1,550.00","1,200.00","1,300",880,800,16.02403846,9.855769231,12.01923077,10.9375,23.21955288
"Buffalo, New York","1,212",850,"1,100.00",750,600,755,535,475,5.826923077,4.086538462,5.288461538,9.014423077,13.03263462
"Cedar Rapids, Iowa","1,000",800,"1,000.00",700,400,571,450,200,4.807692308,3.846153846,4.807692308,8.894230769,12.01442308
"Chandler, Arizona","1,850","1,750","1,200.00","1,000.00",900,"1,200",950,650,8.894230769,8.413461538,5.769230769,9.615384615,16.096875
"Charleston, South Carolina","2,633","1,510","2,400.00","1,000.00","1,000.00","1,290",800,600,12.65865385,7.259615385,11.53846154,9.615384615,19.85753365
"Charlotte, North Carolina","1,840","1,141","1,100.00","1,000.00",725,"1,058",787,620,8.846153846,5.485576923,5.288461538,9.615384615,16.04884615
"Chattanooga, Tennessee","1,100",866,"1,000.00",600,750,800,633,550,5.288461538,4.163461538,4.807692308,8.653846154,12.49471154
"Chicago, Illinois","2,911","2,118","2,100.00","1,500.00","1,100.00","1,619",978,800,13.99519231,10.18269231,10.09615385,10.81730769,21.19273558
"Cincinnati, Ohio","1,880","1,208","1,500.00",950,800,"1,011",675,500,9.038461538,5.807692308,7.211538462,9.495192308,16.24096154
"Clearwater, Florida","1,800","1,350","1,100.00",900,535,867,625,400,8.653846154,6.490384615,5.288461538,9.375,15.85673077
"Cleveland, Ohio","1,349",979,"1,195.00",700,500,744,595,430,6.485576923,4.706730769,5.745192308,8.894230769,13.69062981
"Colorado Springs, Colorado","1,411","1,182","1,250.00","1,095.00",500,677,606,500,6.783653846,5.682692308,6.009615385,9.84375,13.98840865
"Columbia, South Carolina","1,033",992,900,800,635,783,586,500,4.966346154,4.769230769,4.326923077,9.134615385,12.17291827
"Columbus, Georgia",733,783,500,500,600,600,537,475,3.524038462,3.764423077,2.403846154,8.413461538,10.73205288
"Columbus, Ohio","1,525","1,188",800,"1,000.00",700,925,745,685,7.331730769,5.711538462,3.846153846,9.615384615,14.5359375
"Corpus Christi, Texas","1,235","1,060","1,200.00",981,800,915,694,600,5.9375,5.096153846,5.769230769,9.569711538,13.14310096
"Costa Mesa, California","2,550","2,200","2,100.00","1,900.00","1,100.00","1,300","1,200","1,000.00",12.25961538,10.57692308,10.09615385,11.77884615,19.45889423
"Dallas, Texas","2,097","1,148","1,500.00",685.75,600,"1,067",768,600,10.08173077,5.519230769,7.211538462,8.859975962,17.2831875
"Davenport, Iowa",870,"1,100",765,900,600,625,575,,4.182692308,5.288461538,3.677884615,9.375,11.39004808
"Dayton, Ohio","1,033",900,700,750,600,666,512,500,4.966346154,4.326923077,3.365384615,9.014423077,12.17291827
"Denver, Colorado","2,586","1,704","2,000.00","1,350.00",800,"1,340",874,650,12.43269231,8.192307692,9.615384615,10.45673077,19.63179808
"Des Moines, Iowa","1,370","1,216",600,850,550,720,597,500,6.586538462,5.846153846,2.884615385,9.254807692,13.79149038
"Detroit, Michigan","1,450","1,183","1,200.00",900,850,"1,016",711,600,6.971153846,5.6875,5.769230769,9.375,14.17572115
"Durham, North Carolina","1,662","1,100","1,400.00","1,000.00",850,925,666,600,7.990384615,5.288461538,6.730769231,9.615384615,15.19393269
"Edison, New Jersey","2,178","2,300","1,235.00","2,100.00","1,100.00","1,450","1,250","1,100.00",10.47115385,11.05769231,5.9375,12.25961538,17.67222115
"El Paso, Texas",945,850,890,800,690,720,600,600,4.543269231,4.086538462,4.278846154,9.134615385,11.75026442
"Erie, Pennsylvania",900,"1,100",,"1,000.00",400,547,612,525,4.326923077,5.288461538,#VALUE!,9.615384615,11.53413462
"Eugene, Oregon","1,450","1,300","1,200.00","1,100.00",550,683,555,470,6.971153846,6.25,5.769230769,9.855769231,14.17572115
"Everett, Washington","1,500","1,200",,,650,750,675,600,7.211538462,5.769230769,#VALUE!,#VALUE!,14.41586538
"Fargo, North Dakota","1,350",950,"1,200.00",900,750,783,636,560,6.490384615,4.567307692,5.769230769,9.375,13.69543269
"Fayetteville, North Carolina","1,350",800,"1,200.00",750,600,775,616,450,6.490384615,3.846153846,5.769230769,9.014423077,13.69543269
"Fort Collins, Colorado","1,550","1,400","1,000.00","1,200.00",525,841,766,700,7.451923077,6.730769231,4.807692308,10.09615385,14.65600962
"Fort Lauderdale, Florida","2,056","1,653","1,400.00","1,250.00",800,"1,094",865,650,9.884615385,7.947115385,6.730769231,10.21634615,17.08626923
"Fort Wayne, Indiana","1,100",833,800,500,450,650,497,400,5.288461538,4.004807692,3.846153846,8.413461538,12.49471154
"Fort Worth, Texas","1,450","1,200","1,200.00","1,000.00",550,755,716,600,6.971153846,5.769230769,5.769230769,9.615384615,14.17572115
"Fremont, California","2,650","2,250","2,400.00","2,000.00","1,500.00","1,650","1,486","1,300.00",12.74038462,10.81730769,11.53846154,12.01923077,19.93918269
"Fresno, California","1,343","1,287","1,000.00","1,000.00",750,891,725,600,6.456730769,6.1875,4.807692308,9.615384615,13.6618125
"Gainesville, Florida","1,108",968,900,800,607,748,542,445,5.326923077,4.653846154,4.326923077,9.134615385,12.53313462
"Glendale, California","2,250","1,933","1,000.00","1,000.00","1,300.00","1,616","1,250","1,000.00",10.81730769,9.293269231,4.807692308,9.615384615,18.01802885
"Grand Rapids, Michigan","1,700","1,025","1,700.00",925,800,966,537,525,8.173076923,4.927884615,8.173076923,9.435096154,15.37644231
"Green Bay, Wisconsin",983,783,650,700,500,650,616,500,4.725961538,3.764423077,3.125,8.894230769,11.93277404
"Greensboro, North Carolina","1,700",925,"1,600.00",850,825,962,615,520,8.173076923,4.447115385,7.692307692,9.254807692,15.37644231
"Hartford, Connecticut","1,700","1,337","1,100.00","1,200.00",750,"1,250",800,700,8.173076923,6.427884615,5.288461538,10.09615385,15.37644231
"Honolulu, Hawaii","3,097","2,232","2,000.00","1,500.00","1,000.00","1,397","1,287",900,14.88942308,10.73076923,9.615384615,10.81730769,22.08607212
"Houston, Texas","2,081","1,364","1,500.00","1,000.00",900,"1,253",812,650,10.00480769,6.557692308,7.211538462,9.615384615,17.20634135
"Huntington Beach, California","3,000","2,800",,,,"1,600","1,500",,14.42307692,13.46153846,#VALUE!,#VALUE!,21.62019231
"Huntsville, Alabama",949,787,899,725,460,602,461,320,4.5625,3.783653846,4.322115385,8.954326923,11.76947596
"Indianapolis, Indiana","1,450","1,066","1,200.00",900,650,806,587,500,6.971153846,5.125,5.769230769,9.375,14.17572115
"Irvine, California","2,800","2,400","2,800.00","2,200.00","1,600.00","1,770","1,525","1,500.00",13.46153846,11.53846154,13.46153846,12.5,20.65961538
"Jackson, Mississippi",850,825,700,800,450,575,634,500,4.086538462,3.966346154,3.365384615,9.134615385,11.29399038
"Jacksonville, Florida","1,490","1,087","1,250.00",900,650,750,662,500,7.163461538,5.225961538,6.009615385,9.375,14.36783654
"Jersey City, New Jersey","3,325","2,400","1,800.00","1,800.00","1,300.00","2,114","1,310","1,000.00",15.98557692,11.53846154,8.653846154,11.53846154,23.18112981
