city,central_three,central_one_min,three_bed,rank,central_one,one_bed,central_three_min,three_bed_min,one_bed_min
"New York, New York"," 6,585.71 $","
2,000.00"," 3,505.00 $",1," 3,024.14 $"," 1,918.59 $","
4,500.00","
1,900.00","
1,400.00"
"Phoenix, Arizona"," 1,220.80 $","
700.00"," 1,144.25 $",2, 850.00 $, 712.50 $,"
1,000.00","
900.00","
550.00"
"Philadelphia, Pennsylvania"," 2,783.33 $","
1,000.00"," 1,875.00 $",3," 1,325.00 $", 864.62 $,"
2,000.00","
1,400.00","
800.00"
"Houston, Texas"," 2,033.33 $","
900.00"," 1,325.00 $",4," 1,164.29 $", 800.50 $,"
1,500.00","
1,000.00","
650.00"
"San Diego, California"," 3,090.91 $","
1,250.00"," 2,299.58 $",5," 1,676.67 $"," 1,276.79 $","
2,300.00","
1,800.00","
950.00"
"Chicago, Illinois"," 2,820.00 $","
1,100.00"," 2,083.33 $",6," 1,584.64 $", 979.64 $,"
2,000.00","
1,500.00","
800.00"
"Los Angeles, California"," 2,988.24 $","
1,200.00"," 2,216.67 $",7," 1,645.61 $"," 1,179.76 $","
2,200.00","
1,800.00","
1,000.00"
"San Antonio, Texas"," 1,377.78 $","
600.00"," 1,138.89 $",8, 900.00 $, 754.33 $,"
1,000.00","
1,000.00","
700.00"
"Dallas, Texas"," 2,085.62 $","
800.00"," 1,231.00 $",9," 1,088.12 $", 748.44 $,"
1,500.00","
850.00","
600.00"
"San Jose, California"," 3,800.00 $","
1,600.00"," 3,100.00 $",10," 1,985.00 $"," 1,805.56 $","
3,200.00","
2,800.00","
1,400.00"
"Austin, Texas"," 2,748.50 $","
1,200.00"," 1,525.00 $",11," 1,579.71 $", 926.43 $,"
2,000.00","
1,200.00","
800.00"
"Indianapolis, Indiana"," 1,450.00 $","
650.00"," 1,066.67 $",12, 806.25 $, 612.50 $,"
1,200.00","
900.00","
500.00"
"Jacksonville, Florida"," 1,362.50 $","
650.00"," 1,087.50 $",13, 730.00 $, 625.00 $,"
1,250.00","
900.00","
500.00"
"Columbus, Ohio"," 1,550.00 $","
700.00"," 1,186.88 $",14, 966.67 $, 740.45 $,"
800.00","
1,000.00","
685.00"
"Charlotte, North Carolina"," 1,760.00 $","
725.00"," 1,141.67 $",15," 1,034.38 $", 787.22 $,"
1,100.00","
1,000.00","
620.00"
"San Francisco, California"," 5,697.73 $","
2,400.00"," 4,324.58 $",16," 3,168.40 $"," 2,216.67 $","
4,500.00","
2,600.00","
1,600.00"
"Detroit, Michigan"," 1,483.33 $","
850.00"," 1,187.50 $",17," 1,016.67 $", 711.56 $,"
1,200.00","
900.00","
600.00"
"El Paso, Texas", 945.00 $,"
690.00", 850.00 $,18, 720.00 $, 600.00 $,"
890.00","
800.00","
600.00"
"Washington, District of Columbia"," 4,020.00 $","
1,500.00"," 2,339.50 $",19," 1,941.67 $"," 1,495.56 $","
3,600.00","
1,618.00","
1,300.00"
"Denver, Colorado"," 2,537.50 $","
800.00"," 1,704.55 $",20," 1,340.30 $", 875.77 $,"
2,000.00","
1,350.00","
650.00"
"Fort Worth, Texas"," 1,500.00 $","
550.00"," 1,249.83 $",21, 763.57 $, 740.00 $,"
1,200.00","
999.00","
600.00"
"Nashville, Tennessee"," 2,150.00 $","
700.00"," 1,550.00 $",22," 1,106.25 $", 795.00 $,"
1,600.00","
1,300.00","
605.00"
"Baltimore, Maryland"," 2,388.89 $","
1,200.00"," 1,530.00 $",23," 1,356.88 $", 937.50 $,"
1,900.00","
1,250.00","
800.00"
"Memphis, Tennessee"," 1,533.33 $","
650.00"," 1,157.40 $",24, 810.00 $, 674.17 $,"
1,200.00","
987.00","
500.00"
"Seattle, Washington"," 3,328.64 $","
1,300.00"," 2,223.85 $",25," 1,664.82 $"," 1,264.29 $","
2,800.00","
1,500.00","
1,000.00"
